date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:22:24	747545/747545	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2003%20Dec%202020%2020:56:59%20GMT	https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-brands-400.svg	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-brands-400.svg	(from https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/css/all.css)
11:22:24	34350/34350	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2003%20Dec%202020%2020:57:00%20GMT	https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-regular-400.eot	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-regular-400.eot	(from https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/css/all.css)
11:22:24	34350/34350	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2003%20Dec%202020%2020:57:00%20GMT	https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-regular-400.eot?	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-regular-400d41d.eot	(from https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/css/all.css)
11:22:25	13548/13548	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Dec%202020%2020:57:01%20GMT	https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-regular-400.woff2	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-regular-400.woff2	(from https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/css/all.css)
11:22:25	16772/16772	---M--	200	added ('OK')	font/woff	date:Thu,%2003%20Dec%202020%2020:57:01%20GMT	https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-regular-400.woff	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-regular-400.woff	(from https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/css/all.css)
11:22:25	34052/34052	---M--	200	added ('OK')	font/ttf	date:Thu,%2003%20Dec%202020%2020:57:01%20GMT	https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-regular-400.ttf	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-regular-400.ttf	(from https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/css/all.css)
11:22:25	144714/144714	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2003%20Dec%202020%2020:57:01%20GMT	https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-regular-400.svg	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-regular-400.svg	(from https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/css/all.css)
11:22:25	204814/204814	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2003%20Dec%202020%2020:57:02%20GMT	https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-solid-900.eot	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-solid-900.eot	(from https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/css/all.css)
11:22:26	80300/80300	---M--	200	added ('OK')	font/woff2	date:Thu,%2003%20Dec%202020%2020:57:04%20GMT	https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-solid-900.woff2	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-solid-900.woff2	(from https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/css/all.css)
11:22:26	204814/204814	---M--	200	added ('OK')	application/vnd.ms-fontobject	date:Thu,%2003%20Dec%202020%2020:57:02%20GMT	https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-solid-900.eot?	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-solid-900d41d.eot	(from https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/css/all.css)
11:22:26	104280/104280	---M--	200	added ('OK')	font/woff	date:Thu,%2003%20Dec%202020%2020:57:03%20GMT	https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-solid-900.woff	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-solid-900.woff	(from https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/css/all.css)
11:22:26	204528/204528	---M--	200	added ('OK')	font/ttf	date:Thu,%2003%20Dec%202020%2020:57:03%20GMT	https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-solid-900.ttf	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-solid-900.ttf	(from https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/css/all.css)
11:22:27	917575/917575	---M--	200	added ('OK')	image/svg+xml	date:Thu,%2003%20Dec%202020%2020:57:03%20GMT	https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-solid-900.svg	D:/Download/My%20sites/Python%20tasks/Pyton%20tasks/pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/webfonts/fa-solid-900.svg	(from https://pythonexercises.rozh2sch.org.ua/css/fontawesome-free-5.15.1-web/css/all.css)
